ref.no,citation,Review?,Jamie's thesis?,Not found,abbr_ref
379,"Orsi Relini, L., Mannini, A., & Relini, G. (2013). Updating knowledge on growth, population dynamics, and ecology of the blue and red shrimp, Aristeus antennatus (Risso, 1816), on the basis of the study of its instars. Marine Ecology, 34(1), 90-102.",,,,
380,"Castilho, A. L., Grabowski, R. C., SiMõeS, S. M., Santos, A. P. F., CoStA, R. C., & Fransozo, A. (2015). Lifespan and population dynamics of the endemic South American shrimpArtemesia longinaris (Crustacea: Penaeidae) in southeastern Brazil. Anais da Academia Brasileira de Ciências, 87(4), 2123-2138.",,,,
381,"Tulp, I., Chen, C., Haslob, H., Schulte, K., Siegel, V., Steenbergen, J., ... & Hufnagl, M. (2016). Annual brown shrimp (Crangon crangon) biomass production in Northwestern Europe contrasted to annual landings. ICES Journal of Marine Science, 73(10), 2539-2551.",,,,
382,"Gavio, M. A., Orensanz, J. M., & Armstrong, D. (2006). Evaluation of alternative life history hypotheses for the sand shrimp Crangon franciscorum (Decapoda: Caridea). Journal of Crustacean Biology, 26(3), 295-307.",,,,
383,"Oh, C. W., Suh, H. L., Park, K. Y., Ma, C. W., & Lim, H. S. (2002). Growth and reproductive biology of the freshwater shrimp Exopalaemon modestus (Decapoda: Palaemonidae) in a lake of Korea. Journal of Crustacean Biology, 22(2), 357-366.",,,,
384,"Baelde, P. (1994). Growth, mortality and yield-per-recruit of deep-water royal red prawns (Haliporoides sibogae) off eastern Australia, using the length-based MULTIFAN method. Marine biology, 118(4), 617-625.",,,,
385,"Subchev, M., Koutrakis, E., & Perdikaris, C. (2007). Crayfish epibionts Branchiobdella sp. and Hystricosoma chappuisi (Annelida: Clitellata) in Greece. Bulletin Français de la Pêche et de la Pisciculture, (387), 59-66.",,,,
386,"Oh, C. W., Kim, J. Y., Jeong, I. J., Suh, H. L., & Cho, Y. K. (2006). Reproduction and population dynamics of Leptochela gracilis (Decapoda: Pasiphaeidae) on the western coast of Korea, Yellow Sea. Journal of the Marine Biological Association of the United Kingdom, 86(1), 113-120.",,,,
387,"Freire, J. L., Marques, C. B., & Bentes, D. S. B. (2012). Growth and stock assessment of Macrobrachium amazonicum (Decapoda: Palaemonidae) in an estuary of northeast Pará, Brasil. BOLETIM DO INSTITUTO DE PESCA, 38(3), 215-229.",,,,
388,"Gray, C. A. (1991). Temporal variability in the demography of the palaemonid prawn Macrobrachium intermedium in two seagrasses. Marine Ecology Progress Series, 227-237.",,,,
389,"Deekae, S. N., & Abowei, J. F. N. (2010). Some Age Related Attributes of Macrobrachium mcrobrachion (Herklots, 1851) from Luubara Creek in Ogoni Land, Niger Delta, Nigeria. Current Research Journal of Biological Sciences, 2(5), 313-322.",,,,
390,"Ogawa, Y., Hashimoto, H., Kakuda, S., & Gushima, K. (1991). On the growth and life span of the population of oriental river prawn Macrobrachium nipponense (De Haan) in the Ashida river [Hiroshima, Japan]. Journal of the Faculty of Applied Biological Science-Hiroshima University (Japan).",,,,
391,"Kim, J. C., Ma, C. W., Oh, C. W., & Paik, S. G. (2008). Reproduction and growth of the freshwater prawn, Palaemon paucidens (Decapoda: Palaemonidae) in a lake of Korea. Journal of Environmental Biology, 29(2), 163.",,,,
392,"Okogwu, O. I., Ajuogu, J. C., & Nwani, C. D. (2010). Artisanal fishery of the exploited population of Macrobrachium vollenhovenii Herklot 1857 (Crustacea; Palaemonidae) in the Asu River, southeast Nigeria. Acta Zoologica Lituanica, 20(2), 98-106.",,,,
393,"Inland, S. Growth and maturation of whiskered velvet shrimp Metapenaeopsis barbata (De Haan) in Aki-nada area, the Seto Inland Sea.",,,,
394,"Gerami, M. H., Paighambari, S. Y., Ghorbani, R., & Momeni, M. (2012). Population structure, growth and mortality rates of Jinga shrimp, Metapenaeus affinis in fishing grounds of Hormozgan Province, Iran. Caspian Journal of Applied Sciences Research, 1(8), 29-35.",,,,
395,"Pillai, S. L., & Thirumilu, P. (2013). Fishery and stock assessment of Metapenaeus dobsoni (Miers, 1878) off Chennai.",,,,
396,"Samphan, P., Sukree, H., & Reunchai, T. (2016). Population dynamics of the greasyback shrimp (Metapenaeus ensis, De Haan, 1844) in the Songkhla Lake, Songkhla Province, Thailand. Journal of Agricultural Technology, 12(1), 75-89.",,,,
397,"Kee Cha, H., Hwa Choi, J., & Woong Oh, C. (2004). Reproductive biology and growth of the Shiba shrimp, Metapenaeus joyneri (Decapoda: Penaeidae), on the western coast of Korea. Journal of Crustacean Biology, 24(1), 93-100.",,,,
398,"Dineshbabu, A. P. (2006). Length-weight relationship and growth of the speckled shrimp Metapenaeus monoceros (Fabricius) off Saurashtra. Journal of the Marine Biological Association of India, 48(2), 180-184.",,,,
399,"Mehanna, S. F., & El-Gammal, F. I. (2008). Population dynamics and management of white shrimp Metapenaeus stebbingi (Penaeidae) at Lake Timsah, Suez Canal, Egypt. Asian fisheries science, 21, 305-317.",,,,
400,"Lhomme, F., & Garcia, S. (1984). Biologie et exploitation de la crevette penaide au Sénégal.",,,,
401,"Agasen, E. V., & Del Mundo, C. M. (1988). Growth, mortality and exploitation rates of Penaeus indicus in Manila Bay, Philippines and southeast India. FAO Fisheries Report (FAO).",,,,
402,"Dredge, M. C. L. (1990). Movement, growth and natural mortality rate of the red spot king prawn, Penaeus longistylus Kubo, from the Great Barrier Reef lagoon. Marine and Freshwater Research, 41(3), 399-410.",,,,
403,"Mehanna, S. F. (1993). Rational exploitation of Peneaus japonicus in the Gulf of Suez (Doctoral dissertation, M. Sc Thesis, Zagazig University).",,,,
404,"Mehanna, S.F. 2003. Stock assessment and management of Penaeus latisulcatus in the Gulf of Suez, Egypt. Bulletin National Institute of Oceanography and Fisheries ARE 29: 31-49.",,,,
405,"Udoh, J. P., & Ukpatu, J. E. (2017). First estimates of growth, recruitment pattern and length-at-first-capture of Nematopalaemon hastatus (Aurivillius, 1898) in Okoro River estuary, southeast Nigeria. Aquaculture, Aquarium, Conservation & Legislation-International Journal of the Bioflux Society (AACL Bioflux), 10(5).",,,,
406,"Bluhm, B. A., & Brey, T. (2001). Age determination in the Antarctic shrimp Notocrangon antarcticus (Crustacea: Decapoda), using the autofluorescent pigment lipofuscin. Marine Biology, 138(2), 247-257.",,,,
407,"Bluhm, B. (2001). Age determination in polar Crustacea using the autofluorescent pigment lipofuscin= Altersbestimmung polarer Crustaceen anhand des autofluoreszierenden Pigments Lipofuszin. Berichte zur Polar-und Meeresforschung (Reports on Polar and Marine Research), 382.",,,,
408,"Glamuzina, L., Conides, A., Prusina, I., _uktera_, M., Klaoudatos, D., Zacharaki, P., & Glamuzina, B. (2014). Population structure, growth, mortality and fecundity of Palaemon adspersus (Rathke 1837; Decapoda: Palaemonidae) in the Parila Lagoon (Croatia, SE Adriatic Sea) with notes on the population management. Turkish Journal of Fisheries and Aquatic Sciences, 14(3), 677-687.",,,,
409,"Bilgin, S., Ozen, O., & Samsun, O. (2009). Sexual seasonal growth variation and reproduction biology of the rock pool prawn, Palaemon elegans (Decapoda: Palaemonidae) in the southern Black Sea. Scientia Marina, 73(2), 239-247.",,,,
410,"Omori M., Chida Y. 1988a. Life history of a caridean shrimp Palaemon macrodactylus with special reference to the difference in reproductive features among ages. Nippon Suisan Gakkaishi 54: 365-375",,,,
411,"Ito, M., Watanabe, S., & Murano, M. (1991). Growth and reproduction of Palaemon pacificus and P. serrifer. Nippon Suisan Gakkaishi, 57(7), 1229-1239.",,,,
412,"Ogawa, Y., & Kakuda, S. (1988). On the growth and life span of the population of lake prawn, Palaemon paucidens De Hann(Decapoda, Macrura, Palaemonidae) in the Ashida River. Journal of the Faculty of Applied Biological Science, Hiroshima University, 27(1), 41-50.",,,,
413,"Guerao, G., Pérez-Baquera, J., & Ribera, C. (1994). Growth and reproductive biology of Palaemon xiphias Risso, 1816 (Decapoda: Caridea: Palaemonidae). Journal of Crustacean Biology, 14(2), 280-288.",,,,
414,"Beck, J. T., & Cowell, B. C. (1976). Life history and ecology of the freshwater caridean shrimp, Palaemonetes paludosus (Gibbes). American Midland Naturalist, 52-65.",,,,
415,"Sokolov, V. I. (2001). Specific Features of Biology of Pandalopsis dispar (Crustacea, Decapoda, Pandalidae) in the Western Bering Sea. ENTOMOLOGICAL REVIEW C/C OF ENTOMOLOGICHESKOE OBOZRENIE, 81, S72-S80.",,,,
416,"Bandurin, K. V., & Sokolov, V. I. (2003). On biology of the humpback shrimp Pandalus hypsinotus (Crustacea, Decapoda, Pandalidae) in the northern Sea of Okhotsk. ZOOLOGICHESKY ZHURNAL, 82(11), 1300-1307.",,,,
417,"MONTAGUI, P. (1985). Life history characteristics of Pandalus montagui and Dichelopandalus leptocerus in Penobscot Bay, Maine. Fishery Bulletin, 83(3).",,,,
418,"Sousa, R., Henriques, P., Biscoito, M., Pinto, A. R., Delgado, J., Dellinger, T., ... & Pinho, M. R. (2014). Considerations on the Biology of Plesionika narval (Fabricius, 1787) in the Northeastern Atlantic. Turkish Journal of Fisheries and Aquatic Sciences, 14(3), 727-737.",,,,
419,"Tzeng, T. D., & Yeh, S. Y. (2000). Estimates of biological parameters of sword prawn (Parapenaeopsis hardwickii) in the adjacent waters off Taichung Harbor. _______, 27(4), 241-251.",,,,
420,"Anantha, C. S., Bhaskar, N., Shanbhogue, S. L., Raghunath, B. S., & Raju, C. V. (1997). Age and growth of the shrimp Parapenaeopsis stylifera (Decapoda/Crustacea) from Mangalore, west coast of India.",,,,
421,"Oh, T. Y., Cha, H. K., & Choi, J. H. (2004). Population dynamics of smoothshell shrimp, Parapenaeopsis tenella from the coastal area of Geomun-do, Korea. Journal of the Korean society of Fisheries Technology, 40(1), 9-16.",,,,
422,"Bekadja, I. B., Mouffok, S., & Boutiba, Z. Biology of the deepwater rose shrimp Parapenaeus longirostris (Lucas, 1846) from the Oranian coast of Western Mediterranean.",,,,
423,"Caillouet Jr, C. W., Hart, R. A., & Nance, J. M. (2011). Simulation of tail weight distributions in biological year 1986–2006 landings of brown shrimp, Farfantepenaeus aztecus, from the northern Gulf of Mexico fishery. Marine Fisheries Review, 73(2), 27-40.",,,,
424,"Leite Jr, N. O., & Petrere Jr, M. (2006). Growth and mortalities of the pink-shrimp Farfantepenaeus brasiliensis Latreille, 1970 and F. paulensis Pérez-Farfante 1967 in southeast Brazil. Brazilian Journal of Biology, 66(2A), 523-536.",,,,
425,"Aranceta-Garza, F., Arreguín-Sánchez, F., Ponce-Díaz, G., & Seijo, J. C. (2016). Natural mortality of three commercial penaeid shrimps (Litopenaeus vannamei, L. stylirostris and Farfantepenaeus californiensis) of the Gulf of California using gnomonic time divisions. Scientia Marina, 80(2), 199-206.",,,,
426,"Ram__rez-Rodr__guez, M., & Arregu__n-Sánchez, F. (2003). Life history stage duration and natural mortality for the pink shrimp Farfantepenaeus duorarum (Burkenroad, 1939) in the southern Gulf of Mexico, using the gnomonic model for time division. Fisheries Research, 60(1), 45-51.",,,,
427,"Kevrekidis, K., & Thessalou-Legaki, M. (2011). Population dynamics of Melicertus kerathurus (Decapoda: Penaeidae) in Thermaikos Gulf (N. Aegean Sea). Fisheries research, 107(1-3), 46-58.",,,,
428,"Momeni, M., Kamrani, E., Safaie, M., & Kaymaram, F. (2018). Population structure of banana shrimp, Penaeus merguiensis De Man, 1888 in the Strait of Hormoz, Persian Gulf. Iranian Journal of Fisheries Sciences, 17(1), 47-66.",,,,
429,"Solis, N. B. (1988). Biology and ecology. In: Biology and culture of Penaeus monodon (pp. 3-36). Tigbauan, Iloilo, Philippines: SEAFDEC Aquaculture Department.",,,,
430,"Klobu_ar, G. I. V., Maguire, I., Gottstein, S., & Gelder, S. R. (2006, December). Occurrence of Branchiobdellida (Annelida: Clitellata) on freshwater crayfish in Croatia. In Annales de Limnologie-International Journal of Limnology (Vol. 42, No. 4, pp. 251-260). EDP Sciences.",,,,
431,"Lindner, M. J., & Anderson, W. W. (1956). Growth, migrations, spawning and size distribution of shrimp Penaeus setiferus. US Government Printing Office.",,,,
432,"Silva, E. F., Calazans, N., Nolé, L., Viana, A., Soares, R., Peixoto, S., & Frédou, F. L. (2015). Population Dynamics of the Pink Shrimp Farfantepenaeus Subtilis in Northeastern Brazil. Journal of Crustacean Biology, 35(2), 132-139.",,,,
433,"Castilho, A. L., Wolf, M. R., Simões, S. M., Bochini, G. L., Fransozo, V., & Costa, R. C. D. (2012). Growth and reproductive dynamics of the South American red shrimp, Pleoticus muelleri (Crustacea: Solenoceridae), from the southeastern coast of Brazil. Journal of Marine Systems, 105, 135-144.",,,,
434,"Colloca, F. (2002). Life cycle of the deep-water pandalid shrimp Plesionika edwardsii (Decapoda, Caridea) in the central Mediterranean Sea. Journal of Crustacean Biology, 22(4), 775-783.",,,,
435,"Guéguen, F. (1998). Biology of the deep-water shrimp Plesiopenaeus edwardsianus in French Guiana. Comptes Rendus de l'Academie des Sciences Series III Sciences de la Vie, 9(321), 757-770.",,,,
436,"Guéguen, F. (1998). Biology of the deep-water shrimp Solenocera acuminata in French Guiana. Comptes Rendus de l'Academie des Sciences Series III Sciences de la Vie, 5(321), 385-394.",,,,
437,"Dineshbabu, A. P., & Manissery, J. (2007). Morphometric relationship and growth of the ‘ridge back shrimp’Solenocera choprai (Decapoda/Crustacea) from Mangalore (southwest coast of India).",,,,
438,"Ganesh, P. R. C., & Chakravarty, M. S. (2016). Age and growth of the deep water mud shrimp Solenocera melantho (De Man, 1907) off Visakhapatnam coast, India. INDIAN JOURNAL OF FISHERIES, 63(4), 22-27.",,,,
439,"Lopes, A. E. B., Grabowski, R. C., Garcia, J. R., Fransozo, A., COSTA, R. C., Hiroki, K. A., & Castilho, A. L. (2017). Population dynamics of Rimapenaeus constrictus (Stimpson, 1874)(Penaeoidea) on the southeastern Brazilian coast: implications for shrimp fishing management from a 5-year study on a bycatch species. Anais da Academia Brasileira de Ciências, (AHEAD), 0-0.",,,,
440,"Hossain, M. Y., & Ohtomi, J. (2010). Growth of the southern rough shrimp Trachysalambria curvirostris (Penaeidae) in Kagoshima Bay, southern Japan. Journal of Crustacean Biology, 30(1), 75-82.",,,,
441,"Bateman, K. S., Tew, I., French, C., Hicks, R. J., Martin, P., Munro, J., & Stentiford, G. D. (2012). Susceptibility to infection and pathogenicity of White Spot Disease (WSD) in non-model crustacean host taxa from temperate regions. Journal of invertebrate pathology, 110(3), 340-351.",,,,
442,"Longshaw, M., Stebbing, P. D., Bateman, K. S., & Hockley, F. A. (2012). Histopathological survey of pathogens and commensals of white-clawed crayfish (Austropotamobius pallipes) in England and Wales. Journal of invertebrate pathology, 110(1), 54-59.",,,,
443,"Vogt, G., Keller, M., & Brandis, D. (1996). Occurrence of Psorospermium haeckeli in the stone crayfish Austropotamobius torrentium from a population naturally mixed with the noble crayfish Astacus astacus. Diseases of aquatic organisms, 25(3), 233-238.",,,,
444,"González-Galaviz, J. R., Rodriguez-Anaya, L. Z., Molina-Garza, Z. J., Ibarra-Gámez, J. C., & Galaviz-Silva, L. (2013). Genotyping of white spot syndrome virus on wild and farm crustaceans from Sonora, Mexico. Archives of Biological Sciences, 65(3), 945-947.",,,,
445,"Mantelatto, F. L., O'Brien, J. J., & Biagi, R. (2003). Parasites and symbionts of crabs from Ubatuba Bay, São Paulo state, Brazil. Comparative Parasitology, 70(2), 211-214.",,,,
446,"Boone, E., Boettcher, A. A., Sherman, T. D., & O'Brien, J. J. (2004). What constrains the geographic and host range of the rhizocephalan Loxothylacus texanus in the wild?. Journal of experimental Marine biology and ecology, 309(2), 129-139.",,,,
447,"Shields, J. D., & Overstreet, R. M. (2007). Diseases, parasites, and other symbionts. In The blue crab Callinectes sapidus. MAryland Sea Grant.",,,,
448,"Bateman, K. S., Wiredu-Boakye, D., Kerr, R., Williams, B. A. P., & Stentiford, G. D. (2016). Single and multi-gene phylogeny of Hepatospora (Microsporidia)–a generalist pathogen of farmed and wild crustacean hosts. Parasitology, 143(8), 971-982.",,,,
449,"Smith, A. L., Whitten, M. M. A., Hirschle, L., Pope, E. C., Wootton, E. C., Vogan, C. L., & Rowley, A. F. (2014). Bacterial septicaemia in prerecruit edible crabs, Cancer pagurus L. Journal of fish diseases, 37(8), 729-737.",,,,
450,"Hartikainen, H., Stentiford, G. D., Bateman, K. S., Berney, C., Feist, S. W., Longshaw, M., ... & Bass, D. (2014). Mikrocytids are a broadly distributed and divergent radiation of parasites in aquatic invertebrates. Current Biology, 24(7), 807-812.",,,,
451,"Smith, A. L., Hamilton, K. M., Hirschle, L., Wootton, E. C., Vogan, C. L., Pope, E. C., ... & Rowley, A. F. (2013). Characterization and molecular epidemiology of a fungal infection of edible crabs (Cancer pagurus) and interaction of the fungus with the dinoflagellate parasite Hematodinium. Applied and environmental microbiology, 79(3), 783-793.",,,,
452,"Bateman, K. S., Hicks, R. J., & Stentiford, G. D. (2011). Disease profiles differ between non-fished and fished populations of edible crab (Cancer pagurus) from a major commercial fishery. ICES journal of marine science, 68(10), 2044-2052.",,,,
453,"Vivares, C. P., & Azevedo, C. (1988). Ultrastructural observations of the life cycle stages of Ameson atlanticum sp. nov., a microsporidan parasitizing Cancer pagurus L. Journal of Fish Diseases, 11(5), 379-387.",,,,
454,"Amogan, H. P., Martinez, J. P., & Ciuffetti, L. M. (2007). Karyotype and genome size of Nadelspora canceri determined by pulsed field gel electrophoresis. Acta protozoologica, 45(3), 249.",,,,
455,"Théodoridès, J. (1977). Pachyporospora retorta Ormières pacifica ssp. nov.(Eugregarina, Porosporidae), parasite de Cancer productus Randall (Brachyura, Cancridae) à Nanaimo, Colombie-Britannique. Remarques sur le cycle des Pachyporospora Théod., 1961. Canadian Journal of Zoology, 55(1), 237-241.",,,,
456,"Bojko, J. (2017). Parasite of invasive crustacea: risks and opportunities for control. University of Leeds.",,,,
457,"Pardo, L. M., Guisado, C., & Acuña, E. (1998). PSEUDIONE HUMBOLDTENSIS, A NEW SPECIES (ISOPODA: BOPYRIDAE) OF PARASITE OFCERVIMUNIDA JOHNI AND PLEURONCODES MONODON (ANOMURA: GALATHEIDAE) FROM THE NORTHERN COAST OF CHILE. Proceedings of the Biological Society of Washington, 111(2), 272-277.",,,,
458,"Gomez, D. K., Baeck, G. W., Kim, J. H., Choresca Jr, C. H., & Park, S. C. (2008). Molecular detection of betanodaviruses from apparently healthy wild marine invertebrates. Journal of invertebrate pathology, 97(3), 197-202.",,,,
459,"Chiesa, S., Scalici, M., Lucentini, L., & Marzano, F. N. (2015). Molecular identification of an alien temnocephalan crayfish parasite in Italian freshwaters.",,,,
460,"Li, F., Xu, L., & Yang, F. (2017). Genomic characterization of a novel iridovirus from redclaw crayfish Cherax quadricarinatus: evidence for a new genus within the family Iridoviridae. Journal of General Virology, 98(10), 2589-2595.",,,,
461,"Sakuna, K., Elliman, J., & Owens, L. (2017). Discovery of a novel Picornavirales, Chequa iflavirus, from stressed redclaw crayfish (Cherax quadricarinatus) from farms in northern Queensland, Australia. Virus research, 238, 148-155.",,,,
462,"Hayakijkosol, O., Owens, L., & Picard, J. (2017). Case report of bacterial infections in a redclaw crayfish (Cherax quadricarinatus) hatchery. Aquaculture, 475, 1-7.",,,,
463,"Soowannayan, C., Nguyen, G. T., Pham, L. N., Phanthura, M., & Nakthong, N. (2015). Australian red claw crayfish (Cherax quadricarinatus) is susceptible to yellow head virus (YHV) infection and can transmit it to the black tiger shrimp (Penaeus monodon). Aquaculture, 445, 63-69.",,,,
464,"Du Preez, L., & Smit, N. (2013). Double blow: Alien crayfish infected with invasive temnocephalan in South African waters. South African Journal of Science, 109(9-10), 01-04.",,,,
465,"Hayakijkosol, O., & Owens, L. (2012). B2 or not B2: RNA interference reduces Macrobrachium rosenbergii nodavirus replication in redclaw crayfish (Cherax quadricarinatus). Aquaculture, 326, 40-45.",,,,
466,"Hibbits, J., Hughes, G. C., & Sparks, A. K. (1981). Trichomaris invadens gen. et sp. nov., an ascomycete parasite of the tanner crab (Chionoecetes bairdi Rathbun Crustacea; Brachyura). Canadian Journal of Botany, 59(11), 2121-2128.",,,,
467,"Caburlotto, G., Suffredini, E., Toson, M., Fasolato, L., Antonetti, P., Zambon, M., & Manfrin, A. (2016). Occurrence and molecular characterisation of Vibrio parahaemolyticus in crustaceans commercialised in Venice area, Italy. International journal of food microbiology, 220, 39-49.",,,,
468,"Stentiford, G. D., Ross, S. H., Kerr, R., Bass, D., & Bateman, K. S. (2015). Paradoxium irvingi n. gen. n. sp.(Microsporidia) infecting the musculature of European pink shrimp Pandalus montagui. Journal of invertebrate pathology, 130, 1-8.",,,,
469,"Azevedo, C. (2001). Ultrastructural aspects of a new species, Vavraia mediterranica (Microsporidia, Pleistophoridae), parasite of the French Mediterranean shrimp, Crangon crangon (Crustacea, Decapoda). Journal of invertebrate pathology, 78(4), 194-200.",,,,
470,"Gollasch, S., & Zander, C. D. (1995). Population dynamics and parasitation of planktonic and epibenthic crustaceans in the Baltic Schlei fjord. Helgoländer Meeresuntersuchungen, 49(1), 759.",,,,
471,"Nelson, S. G., Simmons, M. A., & Knight, A. W. (1986). The energy burden of the bopyrid parasite Argeia pauperata (Crustacea, Isopoda) on the grass shrimp Crangon franciscorum (Crustacea, Crangonidae). Comparative Biochemistry and Physiology Part A: Physiology, 83(1), 121-124.",,,,
472,"Ma, Y., Dai, T., Serwadda, A., & Shen, H. (2016). Detecting a novel Eriocheir sinensis reovirus by reverse transcription loop_mediated isothermal amplification assay. Letters in applied microbiology, 63(5), 363-368.",,,,
473,"Sprague, V., & Orr Jr., P. E. (1955). Nematopsis ostrearum and N . prytherchi (Eugregarinina: Porosporidae) with Special Reference to the Host-Parasite Relations. The Journal of Parasitology, 41(1), 89–104.",,,,
474,"Soto, M. A., Shervette, V. R., & Lotz, J. M. (2002). Susceptibility of Litopenaeus vannamei, Farfantepenaeus duorarum, to White Spot Syndrome Virus (WSSV) and Infection of Menippe adina with WSSV. In Proceedings of the Fifty Third Annual Gulf and Caribbean Fisheries Institute (pp. 38–45). Retrieved from http://procs.gcfi.org/pdf/gcfi_53-4.pdf",,,,
475,"Sheppard, M., Walker, A., Frischer, M., & Lee, R. (2003). Histopathology and prevalence of the parasitic dinoflagellate, Hematodinium sp. in crabs (Callinectes sapidus, Callinectes similis, Neopanope sayi, Libinia emarginata, Menippe mercenaria) from a Georgia Estuary. Journal of Shellfish Research, 22(3), 873–880. https://doi.org/10.2983/035.029.0302",,,,
476,"Davies, C. E., Johnson, A. F., Wootton, E. C., Greenwood, S. J., Clark, K. F., Vogan, C. L., & Rowley, A. F. (2014). Effects of population density and body size on disease ecology of the European lobster in a temperate marine conservation zone. ICES Journal of Marine Science, 72(suppl_1), i128-i138.",,,,
477,"Davies, C. E., Vogan, C. L., & Rowley, A. F. (2015). Effect of the copepod parasite Nicothoë astaci on haemolymph chemistry of the European lobster Homarus gammarus. Diseases of aquatic organisms, 113(2), 169-175.",,,,
478,"Bateman, K. S., Munro, J., Uglow, B., Small, H. J., & Stentiford, G. D. (2012). Susceptibility of juvenile European lobster Homarus gammarus to shrimp products infected with high and low doses of white spot syndrome virus. Diseases of aquatic organisms, 100(2), 169.",,,,
479,"Hauton, C., Brockton, V., & Smith, V. J. (2007). Changes in immune gene expression and resistance to bacterial infection in lobster (Homarus gammarus) post-larval stage VI following acute or chronic exposure to immune stimulating compounds. Molecular immunology, 44(4), 443-450.",,,,
480,"Jensen, P. C., Califf, K., Lowe, V., Hauser, L., & Morado, J. F. (2010). Molecular detection of Hematodinium sp. in Northeast Pacific Chionoecetes spp. and evidence of two species in the Northern Hemisphere. Diseases of aquatic organisms, 89(2), 155-166.",,,,
481,"Stentiford, G. D., Bateman, K. S., Feist, S. W., Oyarzún, S., Uribe, J. C., Palacios, M., & Stone, D. M. (2014). Areospora rohanae n. gen. n. sp.(Microsporidia; Areosporiidae n. fam.) elicits multi-nucleate giant-cell formation in southern king crab (Lithodes santolla). Journal of invertebrate pathology, 118, 1-11.",,,,
482,"Cañete, J. I., Cárdenas, C. A., Oyarzún, S., Plana, J., Palacios, M., & Santana, M. (2008). Pseudione tuberculata Richardson, 1904 (Isopoda: Bopyridae): un parásito de juveniles de centolla Lithodes santolla (Molina, 1782)(Anomura: Lithodidae) en el estrecho de Magallanes, Chile. Revista de biología marina y oceanografía, 43(2), 265-274.",,,,
483,"Castelo, D. D. S. C. M., Sales, J. A., Brilhante, R. S. N., de Melo Guedes, G. M., de Ponte, Y. B., de Souza Sampaio, C. M., ... & de Aguiar Cordeiro, R. (2016). Enterobacteria and Vibrio from Macrobrachium amazonicum prawn farming in Fortaleza, Cearß, Brazil. Asian Pacific journal of tropical medicine, 9(1), 27-31.",,,,
484,"Moravec, F., & Santos, C. P. (2009). Larval Pseudoproleptus sp.(Nematoda: Cystidicolidae) found in the Amazon River prawn Macrobrachium amazonicum (Decapoda: Palaemonidae) in Brazil. Journal of Parasitology, 95(3), 634-638.",,,,
485,"Collart, O. O. (1990). Interactions between the parasite Probopyrus bithynis (Isopoda, Bopyridae) and one of its hosts, the prawn Macrobrachium amazonicum (Decapoda, Palaemonidae). Crustaceana, 58(3), 258-269.",,,,
486,"Liu, H., Xiu, Y., Xu, Y., Tang, M., Li, S., Gu, W., ... & Wang, W. (2017). Development of a colloidal gold immunochromatographic assay (GICA) for the rapid detection of Spiroplasma eriocheiris in commercially exploited crustaceans from China. Journal of fish diseases, 40(12), 1839-1847.",,,,
487,"Zhao, C., Fu, H., Sun, S., Qiao, H., Zhang, W., Jin, S., ... & Gong, Y. (2017). Experimental inoculation of oriental river prawn Macrobrachium nipponense with white spot syndrome virus (WSSV). Diseases of aquatic organisms, 126(2), 125-134.",,,,
488,"Ding, Z., Sun, M., Liu, H., Zhao, Y., Pan, J., & Xue, H. (2016). A new microsporidium, Potaspora macrobrachium n. sp. infecting the musculature of pond-reared oriental river prawn Macrobrachium nipponense (Decapoda: Palaemonidae). Journal of invertebrate pathology, 136, 57-64.",,,,
489,"Zhang, S., Shu, X., Zhou, L., & Fu, B. (2016). Isolation and identification of a new reovirus associated with mortalities in farmed oriental river prawn, Macrobrachium nipponense (de Haan, 1849), in China. Journal of fish diseases, 39(3), 371-375.",,,,
490,"Xiu, Y., Wu, T., Meng, X., Meng, Q., & Wang, W. (2015). Identification and isolation of a spiroplasma pathogen from diseased oriental river prawn, Macrobrachium nipponense, in China: A new freshwater crustacean host. Aquaculture, 437, 270-274.",,,,
491,"Sun, S., Gu, Z., Fu, H., Zhu, J., Xuan, F., & Ge, X. (2014). Identification and characterization of a Macrobrachium nipponense ferritin subunit regulated by iron ion and pathogen challenge. Fish & shellfish immunology, 40(1), 288-295.",,,,
492,"Guerao, G., Andree, K. B., & Rotllant, G. (2011). Direct evidence of parasitism by Copidognathus stevcici (Acari, Halacaridae) in crabs Maja squinado and M. brachydactyla (Brachyura, Majidae) in the laboratory. Aquaculture, 316(1-4), 136-138.",,,,
493,"Small, H. J., Meyer, G. R., Stentiford, G. D., Dunham, J. S., Bateman, K., & Shields, J. D. (2014). Ameson metacarcini sp. nov.(Microsporidia) infecting the muscles of Dungeness crabs Metacarcinus magister from British Columbia, Canada. Diseases of aquatic organisms, 110(3), 213-225.",,,,
494,"Meyers, T., Burton, T., 2009. Diseases of Wild and Cultured Shellfish in Alaska. Alaska Department of Fish & Game, Anchorage, AK. 30pp.",,,,
495,"Goddard, J. H., Torchin, M. E., Kuris, A. M., & Lafferty, K. D. (2005). Host specificity of Sacculina carcini, a potential biological control agent of the introduced European green crab Carcinus maenas in California. Biological Invasions, 7(6), 895-912.",,,,
496,"Morado, J. F., Giesecke, R. H., & Syrjala, S. E. (1999). Molt related mortalities of the Dungeness crab Cancer magister caused by a marine facultative ciliate Mesanophrys pugettensis. Diseases of aquatic organisms, 38(2), 143-150.",,,,
